Ticker,Security Name,Weight (%),Sector,Country,Asset Class
601390,CHINA RAILWAY GROUP LTD A,0.03,Industrials,China,Equity
002080,SINOMA SCIENCE & TECHNOLOGY LTD A,0.03,Materials,China,Equity
603296,HUAQIN TECHNOLOGY LTD A,0.03,Information Technology,China,Equity
300498,WENS FOODSTUFF GROUP LTD,0.03,Consumer Staples,China,Equity
600104,SAIC MOTOR CORP LTD A,0.03,Consumer Discretionary,China,Equity
601628,CHINA LIFE INSURANCE LTD A,0.03,Financials,China,Equity
300124,SHENZHEN INOVANCE TECHNOLOGY LTD A,0.03,Industrials,China,Equity
300136,SHENZHEN SUNWAY COMMUNICATION LTD,0.03,Information Technology,China,Equity
300015,AIER EYE HOSPITAL GROUP LTD A,0.03,Health Care,China,Equity
601727,SHANGHAI ELECTRIC GROUP LTD A,0.03,Industrials,China,Equity
002837,SHENZHEN ENVICOOL TECHNOLOGY LTD A,0.03,Industrials,China,Equity
002001,ZHEJIANG NHU LTD A,0.03,Materials,China,Equity
600362,JIANGXI COPPER LTD A,0.03,Materials,China,Equity
601066,CHINA SECURITIES LTD A,0.03,Financials,China,Equity
601669,POWER CONSTRUCTION CORPORATION OF,0.03,Industrials,China,Equity
002202,GOLDWIND SCIENCE&TECHNOLOGY LTD A,0.03,Industrials,China,Equity
688271,SHANGHAI UNITED IMAGING HEALTHCARE,0.03,Health Care,China,Equity
600160,ZHEJIANG JU HUA LTD A,0.03,Materials,China,Equity
002050,ZHEJIANG SANHUA INTELLIGENT CONTRO,0.03,Industrials,China,Equity
601995,CHINA INTERNATIONAL CAPITAL CORP L,0.03,Financials,China,Equity
601111,AIR CHINA LTD A,0.03,Industrials,China,Equity
600549,XIAMEN TUNGSTEN LTD A,0.03,Materials,China,Equity
300757,ROBOTECHNIK INTELLIGENT TECHNOLOGY,0.03,Industrials,China,Equity
000895,HENAN SHUANGHUI INVESTMENT & DEVEL,0.03,Consumer Staples,China,Equity
000538,YUNNAN BAIYAO GROUP LTD A,0.03,Health Care,China,Equity
000938,UNISPLENDOUR CORP LTD A,0.03,Information Technology,China,Equity
601881,CHINA GALAXY SECURITIES LTD A,0.03,Financials,China,Equity
002027,FOCUS MEDIA INFORMATION TECHNOLOGY,0.03,Communication,China,Equity
600026,COSCO SHIPPING ENERGY TRANSPORTATI,0.03,Energy,China,Equity
601998,CHINA CITIC BANK CORP LTD A,0.03,Financials,China,Equity
002625,KUANG-CHI TECHNOLOGIES LTD A,0.03,Industrials,China,Equity
002648,SATELLITE CHEMICAL LTD A,0.03,Materials,China,Equity
000426,INNER MONGOLIA XINGYE SILVER&TIN M,0.03,Materials,China,Equity
600795,GD POWER DEVELOPMENT LTD A,0.03,Utilities,China,Equity
600584,JCET GROUP LTD A,0.03,Information Technology,China,Equity
600015,HUA XIA BANK LTD A,0.03,Financials,China,Equity
002241,GOERTEK INC A,0.03,Information Technology,China,Equity
000100,TCL TECHNOLOGY GROUP CORP A,0.03,Information Technology,China,Equity
601179,CHINA XD ELECTRIC LTD A,0.03,Industrials,China,Equity
601825,SHANGHAI RURAL COMMERCIAL BANK LTD,0.03,Financials,China,Equity
000630,TONGLING NONFERROUS METALS GROUP L,0.03,Materials,China,Equity
001979,CHINA MERCHANTS SHEKOU INDUSTRIAL,0.03,Real Estate,China,Equity
600436,ZHANGZHOU PIENTZEHUANG PHARMACEUTI,0.03,Health Care,China,Equity
300475,SHANNON SEMICONDUCTOR TECHNOLOGY L,0.03,Information Technology,China,Equity
002156,TONGFU MICROELECTRONICS LTD A,0.03,Information Technology,China,Equity
600585,ANHUI CONCH CEMENT LTD A,0.03,Materials,China,Equity
000301,JIANGSU EASTERN SHENGHONG LTD A,0.03,Materials,China,Equity
000617,CNPC CAPITAL LTD A,0.03,Financials,China,Equity
688183,SHENGYI ELECTRONICS LTD A,0.03,Information Technology,China,Equity
002812,YUNNAN ENERGY NEW MATERIAL (GROUP),0.03,Materials,China,Equity
000975,SHANJIN INTERNATIONAL GOLD LTD A,0.03,Materials,China,Equity
300751,SUZHOU MAXWELL TECHNOLOGIES LTD A,0.03,Information Technology,China,Equity
600115,CHINA EASTERN AIRLINES CORP LTD A,0.03,Industrials,China,Equity
601231,UNIVERSAL SCIENTIFIC INDUSTRIAL (S,0.03,Information Technology,China,Equity
601360,360 SECURITY TECHNOLOGY INC A,0.03,Information Technology,China,Equity
688396,CHINA RESOURCES MICROELECTRONICS L,0.02,Information Technology,China,Equity
600498,FIBERHOME TELECOMMUNICATION TECHNO,0.02,Information Technology,China,Equity
000625,CHONGQING CHANGAN AUTOMOBILE LTD A,0.02,Consumer Discretionary,China,Equity
600066,YUTONG BUS LTD A,0.02,Industrials,China,Equity
603893,ROCKCHIP ELECTRONICS LTD A,0.02,Information Technology,China,Equity
601838,BANK OF CHENGDU LTD A,0.02,Financials,China,Equity
601168,WESTERN MINING LTD A,0.02,Materials,China,Equity
600426,SHANDONG HUALU-HENGSHENG CHEMICAL,0.02,Materials,China,Equity
002311,GUANGDONG HAID GROUP LTD A,0.02,Consumer Staples,China,Equity
600048,POLY DEVELOPMENTS AND HOLDINGS GRO,0.02,Real Estate,China,Equity
600438,TONGWEI LTD A,0.02,Information Technology,China,Equity
600674,SICHUAN CHUANTOU ENERGY LTD A,0.02,Utilities,China,Equity
000066,CHINA GREATWALL TECHNOLOGY GROUP L,0.02,Information Technology,China,Equity
688120,HWATSING TECHNOLOGY LTD A,0.02,Information Technology,China,Equity
