Ticker,Security Name,Weight (%),Sector,Country,Asset Class
ADANIPOWER,ADANI POWER LTD,0.06,Utilities,India,Equity
003670,POSCO FUTURE M LTD,0.06,Industrials,Korea (South),Equity
600036,CHINA MERCHANTS BANK LTD A,0.06,Financials,China,Equity
2319,CHINA MENGNIU DAIRY LTD,0.06,Consumer Staples,China,Equity
1590,AIRTAC INTERNATIONAL GROUP,0.05,Industrials,Taiwan,Equity
ASII,ASTRA INTERNATIONAL,0.05,Industrials,Indonesia,Equity
AOT.R,AIRPORTS OF THAILAND NON-VOTING DR,0.05,Industrials,Thailand,Equity
6488,GLOBALWAFERS LTD,0.05,Information Technology,Taiwan,Equity
HEROMOTOCO,HERO MOTOCORP LTD,0.05,Consumer Discretionary,India,Equity
688041,HYGON INFORMATION TECHNOLOGY LTD A,0.05,Information Technology,China,Equity
6690,HAIER SMART HOME CLASS H LTD H,0.05,Consumer Discretionary,China,Equity
003550,LG CORP,0.05,Industrials,Korea (South),Equity
JBS,JBS N V NV CLASS A,0.05,Consumer Staples,Brazil,Equity
2359,WUXI APPTEC LTD H,0.05,Health Care,China,Equity
688256,CAMBRICON TECHNOLOGIES CORPORATION,0.05,Information Technology,China,Equity
017670,SK TELECOM LTD,0.05,Communication,Korea (South),Equity
ETERNAL,ETERNAL LTD,0.05,Consumer Discretionary,India,Equity
ALE,ALLEGRO SA,0.05,Consumer Discretionary,Poland,Equity
6618,JD HEALTH INTERNATIONAL INC,0.05,Consumer Staples,China,Equity
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS,0.05,Industrials,India,Equity
AC*,ARCA CONTINENTAL,0.05,Consumer Staples,Mexico,Equity
1818,ZHAOJIN MINING INDUSTRY LTD H,0.05,Materials,China,Equity
7020,ETIHAD ETISALAT,0.05,Communication,Saudi Arabia,Equity
2688,ENN ENERGY HOLDINGS LTD,0.05,Utilities,China,Equity
LPP,LPP SA,0.05,Consumer Discretionary,Poland,Equity
005387,HYUNDAI MOTOR S2 PREF,0.05,Consumer Discretionary,Korea (South),Equity
086280,HYUNDAI GLOVIS LTD,0.05,Industrials,Korea (South),Equity
601899,ZIJIN MINING GROUP LTD A,0.05,Materials,China,Equity
VIVT3,TELEFONICA BRASIL SA,0.05,Communication,Brazil,Equity
1050,BANQUE SAUDI FRANSI,0.05,Financials,Saudi Arabia,Equity
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LTD,0.05,Financials,India,Equity
GVT&D,GE VERNOVA T&D INDIA LTD,0.05,Industrials,India,Equity
BRITANNIA,BRITANNIA INDUSTRIES LTD,0.05,Consumer Staples,India,Equity
AUBANK,AU SMALL FINANCE BANK LTD,0.05,Financials,India,Equity
LUPIN,LUPIN LTD,0.05,Health Care,India,Equity
BDMS.R,BANGKOK DUSIT MEDICAL SERVICES NON,0.05,Health Care,Thailand,Equity
